function,compile_success,duration_sec,num_preconditions,stubs,custom_loop_limits,max_loop_limit,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
input_l2cap_credit,True,479.09963178634644,4,4,0,2,2347090,0.7977388999999999,35,35,20,20,8,8
storage_get_index,True,506.40230894088745,6,3,0,16,2119324,0.8460508,62,62,31,31,13,0
uipbuf_get_next_header,True,658.0426259040833,4,0,0,1,3310154,1.1455031,48,48,31,31,17,1
read_frame,True,827.338796377182,1,4,0,2,5358275,1.5278893,160,160,140,140,8,1
dao_input_storing,True,1463.4125220775604,14,11,1,2,9070550,2.5572620500000003,266,285,174,193,50,0
uncompress_addr,True,370.4312493801117,0,1,0,2,1877538,0.7440909,33,33,21,21,9,0
rpl_ext_header_srh_update,True,418.48688077926636,4,1,0,2,3594441,1.1840353,54,55,34,34,13,3
dio_input,True,577.6363296508789,6,2,1,2,3542756,1.4020796999999998,161,161,133,133,24,0
input,True,1747.0635967254639,2,9,0,1,4607274,1.5235143,82,117,58,88,5,0
uncompress_hdr_iphc,True,3165.0876903533936,4,3,0,2,10780734,3.41598705,266,273,242,249,14,19
