function,compile_success,duration_sec,num_preconditions,stubs,custom_loop_limits,max_loop_limit,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
uipbuf_get_next_header,True,173.94259333610535,2,0,0,2,548490,0.34972839999999994,40,40,31,31,9,1
read_frame,True,265.66710209846497,3,2,0,2,853105,0.40936735,155,155,140,140,9,1
storage_get_index,True,332.7946665287018,1,3,0,16,1468235,0.6489805,59,59,31,31,11,0
input_l2cap_credit,True,493.9653363227844,3,2,0,2,2920057,1.04746005,38,40,20,20,9,8
dao_input_storing,True,671.9791114330292,6,11,1,2,3093845,1.2356798999999998,259,274,178,193,39,8
rpl_ext_header_srh_update,True,123.02193117141724,4,1,0,2,929824,0.37269224999999995,54,55,34,34,13,3
uncompress_addr,True,150.9021396636963,3,1,0,2,529420,0.295379,45,45,21,21,21,0
uncompress_hdr_iphc,True,270.63690519332886,4,3,0,2,727220,0.42631854999999996,266,273,242,249,14,19
input,True,1029.9603934288025,2,11,0,2,1700410,0.88189115,106,122,72,86,11,0
dio_input,True,2952.021704673767,33,2,0,3,12185347,3.9391408,190,190,133,133,50,0
