function,compile_success,duration_sec,num_preconditions,stubs,custom_loop_limits,max_loop_limit,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
input_l2cap_credit,True,217.30216002464294,4,2,0,2,1175114,0.45677729999999994,35,35,20,20,8,5
read_frame,True,243.0997622013092,2,2,0,2,1055653,0.48327754999999994,155,155,140,140,9,1
uipbuf_get_next_header,True,285.56898975372314,2,0,0,2,1116338,0.4898463500000001,40,40,31,31,9,1
storage_get_index,True,400.0395414829254,1,4,0,16,2290691,0.9585016,63,63,31,31,8,0
dao_input_storing,True,742.051540851593,6,11,1,2,2317310,1.15724525,259,274,178,193,39,8
dio_input,True,201.8030025959015,6,2,1,2,881561,0.3704806,161,161,133,133,24,0
uncompress_addr,True,289.98868680000305,3,2,0,2,751825,0.5519213,45,47,21,21,21,0
rpl_ext_header_srh_update,True,318.84775948524475,4,1,0,2,1665185,0.6739109999999999,54,55,34,34,13,3
input,True,591.0225224494934,2,11,0,2,2721000,1.1413514,106,122,72,86,11,0
uncompress_hdr_iphc,True,2545.7949011325836,9,3,1,4,6370602,2.1626345999999996,271,278,242,249,19,0
