function,compile_success,duration_sec,num_preconditions,stubs,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
bt_buf_get_tx,True,75.02681612968445,2,4,375865,0.21000595,84,89,25,30,15,0
usb_dc_ep_write,True,269.236291885376,3,2,1277063,0.7326998,86,87,40,41,26,1
gatt_find_info_rsp,True,345.7747631072998,6,5,1426684,0.6434063999999999,83,1057,44,1018,25,4
cmd_write,True,382.5509076118469,6,4,1645919,0.6680142,72,73,33,34,11,1
eswifi_mgmt_iface_status,True,555.4520318508148,13,45,1191504,0.5122355000000001,202,207,102,107,37,0
l2cap_chan_le_recv,True,415.41544938087463,12,16,1258044,0.6479396000000001,178,190,0,0,35,1
imx_mu_ipm_send,True,433.8244721889496,0,0,1794941,0.9775948,45,45,24,24,21,5
nrf5_tx,True,535.1161003112793,11,38,2525272,1.00445625,114,114,0,0,21,1
queue_encapsulated_cmd,True,593.3374264240265,3,9,4445408,1.58650345,45,45,33,33,9,2
send_sf,True,967.3189697265625,6,3,6926191,2.38747635,102,103,45,45,39,0
