function,compile_success,duration_sec,num_preconditions,stubs,custom_loop_limits,max_loop_limit,tokens.total_tokens,costs.total_cost,coverage.overall.hit,coverage.overall.total,coverage.non_harness.hit,coverage.non_harness.total,harness_size,verification.error_count
cmd_write,True,405.6175775527954,6,4,0,40,1005313,0.47170725,66,67,33,34,11,1
usb_dc_ep_write,True,827.8710284233093,4,2,0,2,3413832,1.1465432999999998,74,78,37,41,26,1
eswifi_mgmt_iface_status,True,1950.162189245224,11,45,0,40,2889280,1.0622863999999999,183,200,92,107,30,1
bt_buf_get_tx,True,1652.027992963791,2,4,0,2,13149431,3.4921278,84,89,25,30,15,0
gatt_find_info_rsp,True,1502.9628896713257,6,5,0,1,7144010,2.0179935999999996,71,1054,35,1018,22,0
nrf5_tx,True,119.89079809188843,13,38,0,2,488706,0.219562,116,116,0,0,23,0
send_sf,True,265.57297348976135,2,3,0,2,865970,0.43415784999999996,85,86,45,45,26,0
imx_mu_ipm_send,True,495.379590511322,2,0,0,5,2212790,0.9616816999999999,63,63,30,30,24,2
queue_encapsulated_cmd,True,1454.2527277469635,3,2,0,1,16762692,4.37410225,65,67,24,24,13,2
l2cap_chan_le_recv,True,2298.2471101284027,6,6,0,1,5124025,1.9865618500000002,82,856,36,777,31,0
