function,compile_success,harness_size,program_files,coverage.non_harness.hit,coverage.non_harness.total,custom_loop_limits,max_loop_limit,num_preconditions,stubs,verification.error_count
dao_input_storing,True,92,1,174,193,1,2,14,11,0
dio_input,True,28,1,133,133,1,2,6,2,0
input,True,29,1,58,88,0,1,2,9,0
input_l2cap_credit,True,15,1,20,20,0,2,4,4,8
read_frame,True,20,9,140,140,0,2,1,4,1
rpl_ext_header_srh_update,True,21,1,34,34,0,2,4,1,3
storage_get_index,True,31,1,31,31,0,16,6,3,0
uipbuf_get_next_header,True,17,1,31,31,0,1,4,0,1
uncompress_addr,True,12,1,21,21,0,2,0,1,0
uncompress_hdr_iphc,True,24,1,242,249,0,2,4,3,19
